-,sp,_
16490,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1569,force_strike:0,skill_1:6845,skill_2:3287,skill_3:585,team_buff:0,ds_poison:385,dx:2748,ds:1070
-,sp,rb
20992,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1619,force_strike:0,skill_1:9133,skill_2:4751,skill_3:725,team_buff:0,ds_poison:477,dx:2960,ds:1326
16651,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1426,force_strike:0,skill_1:7156,skill_2:3436,skill_3:611,team_buff:0,ds_poison:402,dx:2498,ds:1118
-,sp,krb
23091,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1781,force_strike:0,skill_1:10046,skill_2:5226,skill_3:797,team_buff:0,ds_poison:524,dx:3256,ds:1458
18316,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1569,force_strike:0,skill_1:7872,skill_2:3780,skill_3:673,team_buff:0,ds_poison:442,dx:2748,ds:1230
-,sp,db
20084,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1725,force_strike:0,skill_1:8461,skill_2:4401,skill_3:671,team_buff:0,ds_poison:441,dx:3154,ds:1228
14991,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1426,force_strike:0,skill_1:6223,skill_2:2988,skill_3:532,team_buff:0,ds_poison:350,dx:2498,ds:973
-,sp,kdb
22093,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1897,force_strike:0,skill_1:9307,skill_2:4841,skill_3:738,team_buff:0,ds_poison:486,dx:3469,ds:1351
16490,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1569,force_strike:0,skill_1:6845,skill_2:3287,skill_3:585,team_buff:0,ds_poison:385,dx:2748,ds:1070
-,sp,rdb
22365,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1725,force_strike:0,skill_1:9730,skill_2:5061,skill_3:772,team_buff:0,ds_poison:508,dx:3154,ds:1412
16651,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1426,force_strike:0,skill_1:7156,skill_2:3436,skill_3:611,team_buff:0,ds_poison:402,dx:2498,ds:1118
-,sp,krdb
24602,Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],<hp70 & hp100>,100% poison uptime,attack:1897,force_strike:0,skill_1:10703,skill_2:5568,skill_3:849,team_buff:0,ds_poison:559,dx:3469,ds:1554
18316,_c_Lathna,5*,shadow,lance,3835,[Resounding_Rendition+The_Fires_of_Hate][Shinobi][HDT2],!<hp70 & hp100>,100% poison uptime,attack:1569,force_strike:0,skill_1:7872,skill_2:3780,skill_3:673,team_buff:0,ds_poison:442,dx:2748,ds:1230
