-,sp,_
6350,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6350~6350),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1825,force_strike:0,skill_1:3322,skill_2:0,skill_3:1203,team_buff:0
-,sp,krd
12251,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(12103~12319),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2432,force_strike:0,skill_1:4528,skill_2:0,skill_3:1993,team_buff:0,s1_crisis:2898,s1_crisis_energized:156,s3_energized:212,s1_energized:29
6350,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6350~6350),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1825,force_strike:0,skill_1:3322,skill_2:0,skill_3:1203,team_buff:0
-,sp,rb
11992,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(11826~12045),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2252,force_strike:0,skill_1:4369,skill_2:0,skill_3:2122,team_buff:0,s1_crisis:2796,s1_crisis_energized:211,s3_energized:88,s1_energized:152
6262,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6262~6262),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1690,force_strike:0,skill_1:3145,skill_2:0,skill_3:1426,team_buff:0
-,sp,krb
11992,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(11826~12045),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2252,force_strike:0,skill_1:4369,skill_2:0,skill_3:2122,team_buff:0,s1_crisis:2796,s1_crisis_energized:211,s3_energized:88,s1_energized:152
6262,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6262~6262),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1690,force_strike:0,skill_1:3145,skill_2:0,skill_3:1426,team_buff:0
-,sp,db
11462,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(11308~11511),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2407,force_strike:0,skill_1:4061,skill_2:0,skill_3:1972,team_buff:0,s1_crisis:2599,s1_crisis_energized:196,s3_energized:80,s1_energized:143
6057,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6057~6057),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1806,force_strike:0,skill_1:2924,skill_2:0,skill_3:1326,team_buff:0
-,sp,kdb
11462,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(11308~11511),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2407,force_strike:0,skill_1:4061,skill_2:0,skill_3:1972,team_buff:0,s1_crisis:2599,s1_crisis_energized:196,s3_energized:80,s1_energized:143
6057,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6057~6057),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1806,force_strike:0,skill_1:2924,skill_2:0,skill_3:1326,team_buff:0
-,sp,rdb
12821,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(12648~12877),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2407,force_strike:0,skill_1:4670,skill_2:0,skill_3:2268,team_buff:0,s1_crisis:2989,s3_energized:93,s1_crisis_energized:227,s1_energized:163
6695,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6695~6695),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1806,force_strike:0,skill_1:3363,skill_2:0,skill_3:1525,team_buff:0
-,sp,krdb
12821,Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(12648~12877),<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:2407,force_strike:0,skill_1:4670,skill_2:0,skill_3:2268,team_buff:0,s1_crisis:2989,s3_energized:93,s1_crisis_energized:227,s1_energized:163
6695,_c_Natalie,5*,shadow,blade,4282,[Tough_Love+The_Chocolatiers][Shinobi];dpsrange:(6695~6695),!<energy & hp20 & last offense>,20hp; 120s; can't maintain comboes,attack:1806,force_strike:0,skill_1:3363,skill_2:0,skill_3:1525,team_buff:0
