-,sp,_
9305,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:3226,force_strike:0,skill_1:3533,skill_2:0,skill_3:945,team_buff:1599
-,sp,rb
16922,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:5711,force_strike:0,skill_1:7261,skill_2:0,skill_3:2350,team_buff:1599
9215,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:2933,force_strike:0,skill_1:3694,skill_2:0,skill_3:988,team_buff:1599
-,sp,krb
18454,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:6282,force_strike:0,skill_1:7987,skill_2:0,skill_3:2585,team_buff:1599
9977,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:3226,force_strike:0,skill_1:4063,skill_2:0,skill_3:1087,team_buff:1599
-,sp,db
16589,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:6085,force_strike:0,skill_1:6727,skill_2:0,skill_3:2177,team_buff:1599
8604,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:2933,force_strike:0,skill_1:3212,skill_2:0,skill_3:859,team_buff:1599
-,sp,kdb
18088,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:6694,force_strike:0,skill_1:7399,skill_2:0,skill_3:2395,team_buff:1599
9305,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:3226,force_strike:0,skill_1:3533,skill_2:0,skill_3:945,team_buff:1599
-,sp,rdb
17925,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:6085,force_strike:0,skill_1:7736,skill_2:0,skill_3:2504,team_buff:1599
9215,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:2933,force_strike:0,skill_1:3694,skill_2:0,skill_3:988,team_buff:1599
-,sp,krdb
19557,Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:6694,force_strike:0,skill_1:8509,skill_2:0,skill_3:2754,team_buff:1599
9977,_c_Kirsty,5*,wind,lance,3782,[Resounding_Rendition+The_Fires_of_Hate][AC011_Garland][HDT2],!<maintain shield & hp70 & hp100 & maintain Dauntless Strength>,100% poison uptime,attack:3226,force_strike:0,skill_1:4063,skill_2:0,skill_3:1087,team_buff:1599
