-,sp,_
15157,_c_G_Cleo,5*,shadow,wand,3680,[Candy_Couriers+King_of_the_Skies][Shinobi][HDT2],!<always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:2444,force_strike:0,skill_1:6213,skill_2:793,skill_3:2799,team_buff:0,fs_alt:0,s1_on_bk:2906
-,sp,rb
28131,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3305,force_strike:0,skill_1:14803,skill_2:351,skill_3:6187,team_buff:0,fs_alt:0,x_on_bk:1671,o_on_bk:0,s2_on_bk:1813
13052,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:2166,force_strike:0,skill_1:5843,skill_2:702,skill_3:2480,team_buff:0,fs_alt:0,s1_on_bk:1859
-,sp,krb
30944,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3635,force_strike:0,skill_1:16283,skill_2:386,skill_3:6806,team_buff:0,fs_alt:0,x_on_bk:1838,o_on_bk:0,s2_on_bk:1994
14357,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:2382,force_strike:0,skill_1:6427,skill_2:773,skill_3:2728,team_buff:0,fs_alt:0,s1_on_bk:2045
-,sp,db
29514,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3000,force_strike:0,skill_1:15765,skill_2:1308,skill_3:6586,team_buff:0,fs_alt:0,x_on_bk:2852
14837,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:1968,force_strike:0,skill_1:5766,skill_2:751,skill_3:2651,team_buff:0,fs_alt:0,x_on_bk:717,o_on_bk:0,s1_on_bk:2981
-,sp,kdb
32465,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3300,force_strike:0,skill_1:17341,skill_2:1439,skill_3:7245,team_buff:0,fs_alt:0,x_on_bk:3138
16321,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:2165,force_strike:0,skill_1:6342,skill_2:826,skill_3:2916,team_buff:0,fs_alt:0,x_on_bk:789,o_on_bk:0,s1_on_bk:3279
-,sp,rdb
29514,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3000,force_strike:0,skill_1:15765,skill_2:1308,skill_3:6586,team_buff:0,fs_alt:0,x_on_bk:2852
14837,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:1968,force_strike:0,skill_1:5766,skill_2:751,skill_3:2651,team_buff:0,fs_alt:0,x_on_bk:717,o_on_bk:0,s1_on_bk:2981
-,sp,krdb
32465,G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:3300,force_strike:0,skill_1:17341,skill_2:1439,skill_3:7245,team_buff:0,fs_alt:0,x_on_bk:3138
16321,_c_G_Cleo,5*,shadow,wand,3696,[Candy_Couriers+Primal_Crisis][Shinobi][HDT2],!<hit15 & always in a1>,4 Gleo vs EHJP; with simulated break; no team dps;,attack:2165,force_strike:0,skill_1:6342,skill_2:826,skill_3:2916,team_buff:0,fs_alt:0,x_on_bk:789,o_on_bk:0,s1_on_bk:3279
